"repository","url","name","owner","description","language","input_license_spdx_id","input_license_name","input_license_osi_approved","stars","issues","created_at","input_first_commit_at","input_last_commit_at","input_activity_months","input_ai_ml_match_topics","input_row_number","sample_source_sha256","accessibility_http_status","accessible_at_run","current_visibility","current_private","current_fork","current_archived","current_stars","current_open_issues","current_created_at","current_updated_at","current_license_spdx_id","current_license_name","current_metadata_exception","pre_cutoff","pre_commit_sha","pre_commit_date","pre_tree_sha","pre_tree_truncated","pre_document_paths","pre_D1","pre_C1","pre_C2","pre_C3","pre_C4","pre_C5","pre_C6","pre_C7","pre_score","pre_D1_evidence","pre_C1_evidence","pre_C2_evidence","pre_C3_evidence","pre_C4_evidence","pre_C5_evidence","pre_C6_evidence","pre_C7_evidence","pre_classification_note","pre_version_error","post_cutoff","post_commit_sha","post_commit_date","post_tree_sha","post_tree_truncated","post_document_paths","post_D1","post_C1","post_C2","post_C3","post_C4","post_C5","post_C6","post_C7","post_score","post_D1_evidence","post_C1_evidence","post_C2_evidence","post_C3_evidence","post_C4_evidence","post_C5_evidence","post_C6_evidence","post_C7_evidence","post_classification_note","post_version_error","observation"
"Kong/kong","https://github.com/Kong/kong","kong","Kong","🦍 The API and AI Gateway","Lua","Apache-2.0","Apache License 2.0","true","44175","4622","2014-11-17T23:56:08Z","2014-11-17T23:56:08Z","2026-09-03T06:09:05Z","141.5","artificial-intelligence","2","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","44175","203","2014-11-17T23:56:08Z","2026-09-22T20:52:10Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","6263443936440291da5654a7bff00acf50fe7c40","2018-05-23T01:44:53Z","cca91e19c7145df787cf855f894aa7e966da36e7","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","1730282ec2f8ed097cf6ad6a3d69e55b7ba9ebb6","2026-06-17T06:16:31Z","307d05b0975b01aad7776b95395cf88781a011b6","FALSE","README.md; SECURITY.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"explosion/spaCy","https://github.com/explosion/spaCy","spaCy","explosion","💫 Industrial-strength Natural Language Processing (NLP) in Python","Python","MIT","MIT License","true","33916","5773","2014-07-03T15:15:40Z","2014-07-03T15:15:40Z","2026-08-24T08:26:02Z","145.69","artificial-intelligence; deep-learning; machine-learning; neural-network; natural-language-processing; nlp","3","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","33916","245","2014-07-03T15:15:40Z","2026-09-23T00:49:11Z","MIT","MIT License","","2018-05-24T23:59:59Z","592834183ad0c8097f7290631681012d9b1bb39a","2018-05-24T11:29:52Z","b1652745a34a2fd94cb3e71475c509c669405c18","FALSE","README.rst","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","e67199550e365dacee28b109210c3a43e1477638","2026-05-19T06:48:33Z","6cfd7883fe2f2d07af443816e6383aaf8e51809c","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"The-Art-of-Hacking/h4cker","https://github.com/The-Art-of-Hacking/h4cker","h4cker","The-Art-of-Hacking","This repository is maintained by Omar Santos (@santosomar) and includes thousands of resources related to ethical hacking, bug bounties, digital forensics and incident response (DFIR), AI security, vulnerability research, exploit development, reverse engineering, and more. 🔥 Also check: https://hackertraining.org","Jupyter Notebook","MIT","MIT License","true","29507","207","2017-06-19T17:11:19Z","2017-06-19T17:11:19Z","2026-09-21T12:18:40Z","111.06","artificial-intelligence","4","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","29507","1","2017-06-19T17:11:19Z","2026-09-23T01:05:42Z","MIT","MIT License","","2018-05-24T23:59:59Z","125195294f834b276fbfefaf4e048d2b584dd758","2018-05-22T22:33:15Z","37e016a99f98eb668228bf69a9a0bf1caee1be70","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","e4db7367a981679f1b0aaef759562bb35b5b9f4f","2026-06-29T17:06:06Z","0ba605334a018215651d722eb3d5293f3fd49f7d","FALSE","README.md; ai/ai-security/ai_security_tools_root.md; ai/ai-security/ai_security_tools.md; ai/ai-security/ai-security-overview.md; ai/ai-security/model_and_genai_application_security_testing.md; ai/ai-security/model_security_testing.md; ai/course-materials/Creating Agents for Cybersecurity/modules/04-langgraph-security.md; ai/course-materials/Creating Agents for Cybersecurity/modules/08-foundry-security-spec.md; ai/llm-engineering/ai_agentic_tools_for_cybersecurity.md; ai/llm-engineering/ML-Fundamentals/glossary_of_terms.md; build-your-own-lab/security-onion-proxmox.md; certifications/cisco/scor-350-701/content_security_fundamentals.md; cybersecurity-domains/application-security/web-application-testing/api_security_assessment_README.md; cybersecurity-domains/application-security/web-application-testing/requirements_api_security.txt; cybersecurity-domains/cloud-container-security/docker-and-k8s-security/kubernetes/network-policy-example.md; cybersecurity-domains/fundamentals/foundational-cybersecurity-concepts/Undertanding Information Security Controls.md; training-reference/cheat-sheets/scripting/python-security.md; training-reference/organized-tools/mobile-security_tools.md","1","0","0","0","0","0","0","0","0","sha=e4db7367a981679f1b0aaef759562bb35b5b9f4f; file=ai/ai-security/ai_security_tools_root.md; text=[jailbreak-evaluation]( ) ## Prompt Firewall and Redaction _Products that intercept prompts and responses and apply security or privacy rules to them. We've blended two categories here because some prompt firewalls just redact private data (and then reidentify in the response) while others focus on identifying and blocking attacks like injection attacks or stopping data leaks. Many of the products in this category do all of the above, which is why they've been combined._ - [Cisco AI Defense]( ) - Model Evaluation, monitoring, guardrails, inventory, AI asset discovery, and more. - [Robust Inte","","","","","","","","Classificação semantic-conservative-2026-09-c1-c4 por evidência textual contextualizada.","","par completo processado"
"onnx/onnx","https://github.com/onnx/onnx","onnx","onnx","Open standard for machine learning interoperability","Python","Apache-2.0","Apache License 2.0","true","21518","3188","2017-09-07T04:53:45Z","2017-09-07T04:47:53Z","2026-09-22T01:04:31Z","108.47","artificial-intelligence; deep-learning; machine-learning; neural-network","5","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","21518","238","2017-09-07T04:53:45Z","2026-09-22T12:22:11Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","8236f49124dc0a37b8c33da2b8f962183c2c393e","2018-05-24T23:00:11Z","b3f7c3990af088e4af62d3da00defac96ad8c7e5","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","8fba37cf78f95bc759a2ba978be5a5b9007f0af5","2026-06-30T15:42:05Z","f0daeea4816c41a73d7595b5f2b7b827fb60ea77","FALSE","README.md; docs/Security.md; SECURITY.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"carla-simulator/carla","https://github.com/carla-simulator/carla","carla","carla-simulator","Open-source simulator for autonomous driving research.","C++","MIT","MIT License","true","14420","6356","2017-10-24T09:06:23Z","2017-03-03T11:24:26Z","2026-09-02T17:42:40Z","114","artificial-intelligence; deep-learning; computer-vision","6","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","14420","1198","2017-10-24T09:06:23Z","2026-09-22T21:27:14Z","MIT","MIT License","","2018-05-24T23:59:59Z","18f10a804d7b1bada36558dae0b83d4aae89df46","2018-05-24T10:47:31Z","913982f4b7b1247a79a764593b2f943da5330e47","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","601966371acc2fa163919055479f5ead1ca9a8b1","2026-06-29T14:47:59Z","2c7889055de871eb03d90e44bd10009684652a44","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"google-deepmind/sonnet","https://github.com/google-deepmind/sonnet","sonnet","google-deepmind","TensorFlow-based neural network library","Python","Apache-2.0","Apache License 2.0","true","9970","193","2017-04-03T11:34:35Z","2017-04-06T17:10:11Z","2026-07-07T22:31:37Z","111.01","artificial-intelligence; deep-learning; machine-learning","7","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","9970","44","2017-04-03T11:34:35Z","2026-09-20T13:24:25Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","f34755ccba97389585f9dd6c18e2e4ffe25ddb38","2018-05-08T15:49:30Z","bac214f69983fa246825f58667507751346bbec2","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","a3052a27a5b99b56a21e666bd0614e95e5c92df5","2026-05-06T20:18:25Z","fdd23aa367fe68dfbf1ad78f1c55933e9c676d6e","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"olistic/warriorjs","https://github.com/olistic/warriorjs","warriorjs","olistic","🏰 An exciting game of programming and Artificial Intelligence","TypeScript","MIT","MIT License","true","9542","120","2015-04-29T14:25:02Z","2015-04-29T14:25:02Z","2026-03-20T23:58:34Z","130.7","artificial-intelligence","8","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","9542","19","2015-04-29T14:25:02Z","2026-09-22T17:24:15Z","MIT","MIT License","","2018-05-24T23:59:59Z","405d7c205172d152a73573062d9313baeec1716e","2018-05-24T04:12:18Z","02395fcff1cb368d8498ed4859856512721d9bd9","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","bc68e875deb7d5aa9016a799000618b11dc488b7","2026-03-20T23:58:34Z","0925165d2a0fe0a27522caf69b1b4878a8748fac","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"OlafenwaMoses/ImageAI","https://github.com/OlafenwaMoses/ImageAI","ImageAI","OlafenwaMoses","A python library built to empower developers to build applications and systems  with self-contained Computer Vision capabilities","Python","MIT","MIT License","true","8888","747","2018-03-19T23:12:33Z","2018-03-19T23:12:34Z","2024-02-20T22:38:05Z","71.09","artificial-intelligence; machine-learning; object-detection","9","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","8888","321","2018-03-19T23:12:33Z","2026-09-21T08:31:16Z","MIT","MIT License","","2018-05-24T23:59:59Z","49366d102a2cf96e4270be884c6d18eecfa8708a","2018-05-24T23:58:17Z","a40b79216b55be683ac701e4bb79ed94a8b218ad","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","2156d1a39a196c72057771d1d16226388c1d7baf","2024-02-20T22:38:05Z","d7f87e943253de2cc6df96cb4e1cd05542aca8d3","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Menções isoladas a privacy/GDPR sem contexto semântico suficiente foram classificadas como 0.","","par completo processado"
"deeppavlov/DeepPavlov","https://github.com/deeppavlov/DeepPavlov","DeepPavlov","deeppavlov","An open source library for deep learning end-to-end dialog systems and chatbots.","Python","Apache-2.0","Apache License 2.0","true","6994","647","2017-11-17T14:35:29Z","2017-11-17T14:35:29Z","2024-11-26T06:34:41Z","84.29","artificial-intelligence; deep-learning; machine-learning; nlp","10","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","6994","56","2017-11-17T14:35:29Z","2026-09-22T17:30:40Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","f2766999539d43af1b0dea91b4ee14cb2cc91ae8","2018-05-24T15:46:24Z","82ac40f7b894d834e27a03ef463edd50e494f644","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","5f9fbed0c7191466bc7621e604b810f66f254c03","2024-11-26T06:34:41Z","249ec5bc0077522bcc865fca1032883da2890a01","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"guofei9987/scikit-opt","https://github.com/guofei9987/scikit-opt","scikit-opt","guofei9987","Genetic Algorithm, Particle Swarm Optimization, Simulated Annealing, Ant Colony Optimization Algorithm,Immune Algorithm, Artificial Fish Swarm Algorithm, Differential Evolution and TSP(Traveling salesman) ","Python","MIT","MIT License","true","6717","183","2017-12-05T10:20:41Z","2017-12-06T06:36:04Z","2026-03-25T09:12:06Z","99.58","artificial-intelligence","11","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","6717","71","2017-12-05T10:20:41Z","2026-09-23T00:51:00Z","MIT","MIT License","","2018-05-24T23:59:59Z","07e92f2942397053254eceab6ac2cf59d3d864f4","2018-01-21T11:00:40Z","238564f1f5508bb17cc7094cfdf2ec4f7bfb2843","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","57d78324e72cd847750e0f4b1f65fdebc24fb524","2026-03-25T09:12:06Z","7635f3c0aeb91e7187d43e548d19f4df8eb6b2c4","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"numenta/nupic-legacy","https://github.com/numenta/nupic-legacy","nupic-legacy","numenta","Numenta Platform for Intelligent Computing is an implementation of Hierarchical Temporal Memory (HTM), a theory of intelligence based strictly on the neuroscience of the neocortex.","Python","MIT","MIT License","true","6352","1793","2013-04-05T23:14:27Z","2013-04-05T23:14:27Z","2024-12-03T17:50:20Z","139.94","artificial-intelligence; machine-intelligence","12","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","6352","465","2013-04-05T23:14:27Z","2026-09-16T23:07:41Z","MIT","MIT License","","2018-05-24T23:59:59Z","1d980e1c4cfd50c61fa163196d44c599cae189a6","2018-05-01T16:03:34Z","8852a219263dc56b3fea057c0758868f12651686","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","7281482def2a96fbda663e6c39e8351a1886dec7","2024-12-03T17:50:20Z","d3decaabe9425c8fc0f888dc10d7033bf8cab8c3","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"Trusted-AI/adversarial-robustness-toolbox","https://github.com/Trusted-AI/adversarial-robustness-toolbox","adversarial-robustness-toolbox","Trusted-AI","Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams","Python","MIT","MIT License","true","6244","917","2018-03-15T14:40:43Z","2017-05-09T12:41:50Z","2025-11-13T14:55:10Z","102.17","artificial-intelligence; machine-learning","13","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","6244","29","2018-03-15T14:40:43Z","2026-09-22T20:39:32Z","MIT","MIT License","","2018-05-24T23:59:59Z","3446c9184fd42d1a84a4592e6a1e9ddf63f39bfb","2018-05-22T13:33:27Z","5d3bd2ef7dabe8b9a21d6ef73b4dcb10022bff27","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","23539e2c06045d78594b6b6da533eed57967e410","2025-11-13T14:55:10Z","ad693102de2a6d42189fc0bd7dedf1eb20168e1c","FALSE","README.md; SECURITY.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"gorgonia/gorgonia","https://github.com/gorgonia/gorgonia","gorgonia","gorgonia","Gorgonia is a library that helps facilitate machine learning in Go.","Go","Apache-2.0","Apache License 2.0","true","5929","283","2016-09-14T23:19:43Z","2016-09-14T23:19:44Z","2023-10-13T09:13:05Z","84.9","artificial-intelligence; deep-learning; machine-learning; neural-network","14","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","5929","126","2016-09-14T23:19:43Z","2026-09-13T06:40:48Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","9e7e489150ee261a41253ae07adfff5a6710d10f","2018-05-12T19:02:46Z","58fddf4eb60e904955e24c61c3ebee46adb4a024","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","d7a3ce27c9a1ffbee531d7850485229584db8d97","2023-10-13T09:13:05Z","bb24ec08a5fa0f0498ff6bf012eb17607eac50e7","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"google-deepmind/dm_control","https://github.com/google-deepmind/dm_control","dm_control","google-deepmind","Google DeepMind's software stack for physics-based simulation and Reinforcement Learning environments, using MuJoCo.","Python","Apache-2.0","Apache License 2.0","true","4702","442","2017-12-29T18:13:15Z","2018-01-02T19:35:47Z","2026-09-22T21:12:31Z","104.63","artificial-intelligence; deep-learning; machine-learning; reinforcement-learning","15","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","4702","130","2017-12-29T18:13:15Z","2026-09-22T21:13:27Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","c24ec9f5f3cb3c25c6571c89c9f60bf3350f5711","2018-01-26T14:14:17Z","e08929593b98ea87ed3b23334b69d0a4aaa3d1d7","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","61931fe34bf0a7201addfc02fa328e2a10eff406","2026-06-28T12:53:18Z","ea51139a1f0e9de612ef567e02ddb2a63a454d7b","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"okfn-brasil/serenata-de-amor","https://github.com/okfn-brasil/serenata-de-amor","serenata-de-amor","okfn-brasil","🕵 Artificial Intelligence for social control of public administration | **This repository does not receive frequent updates. Check out the README**","Python","MIT","MIT License","true","4612","193","2016-06-27T20:55:11Z","2016-06-27T20:55:49Z","2024-01-31T20:29:15Z","91.13","artificial-intelligence; machine-learning","16","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","4612","69","2016-06-27T20:55:11Z","2026-09-22T21:21:21Z","MIT","MIT License","","2018-05-24T23:59:59Z","239e49efcd559d0108f8e123257f56603918fe45","2018-05-23T08:16:36Z","a9a012e875bfd00712b52f43f8a8b01850aa0a55","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","e7aeba78100b1ec96c2a79a85d6f5dfd1a8adaf7","2024-01-31T20:29:15Z","15d1a9e442b79bad19155471b8aa655a3c6199b9","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"gopherdata/gophernotes","https://github.com/gopherdata/gophernotes","gophernotes","gopherdata","The Go kernel for Jupyter notebooks and nteract.","Go","MIT","MIT License","true","3965","187","2016-01-22T19:22:16Z","2016-01-23T01:08:26Z","2026-09-09T18:57:02Z","127.55","artificial-intelligence; machine-learning","17","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","3965","54","2016-01-22T19:22:16Z","2026-09-19T06:45:44Z","MIT","MIT License","","2018-05-24T23:59:59Z","e7a966350e2da9ea19d939763aaca3b93a2a7290","2018-04-07T14:34:50Z","a319c2560ac607e5f3eeb2b087e4783b65f46a01","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","55142043d19696ba037e3e93f9ec6c7f8436e82d","2023-11-03T18:01:39Z","86cdff503b4b794efe3805e547a60ade51b943fe","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"polyaxon/polyaxon","https://github.com/polyaxon/polyaxon","polyaxon","polyaxon","AI Infra / AI Orchestration / AI Control Plane","MDX","Apache-2.0","Apache License 2.0","true","3733","1069","2016-12-26T12:48:47Z","2016-03-29T21:48:43Z","2026-09-22T20:02:37Z","125.79","artificial-intelligence; deep-learning; machine-learning; reinforcement-learning","18","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","3733","125","2016-12-26T12:48:47Z","2026-09-22T20:02:49Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","766a7a1390b46f00e920229d1c1ffb6adbf8ac2f","2018-05-24T23:00:29Z","24c5b3c7ffa62138656d3976b4fab6658935ae60","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","e90398d05620e654e336904e097832a247e2b3ac","2026-06-30T17:02:38Z","f69a1d2bf78c67b96277289f1d847601d3d017d7","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"shogun-toolbox/shogun","https://github.com/shogun-toolbox/shogun","shogun","shogun-toolbox","Shōgun","C++","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true","3081","1527","2011-04-01T10:44:32Z","2006-06-05T14:33:25Z","2023-12-19T18:37:18Z","210.45","artificial-intelligence; machine-learning","19","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","3081","424","2011-04-01T10:44:32Z","2026-09-11T17:00:40Z","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","","2018-05-24T23:59:59Z","5d65aa6955079a5f37e6804189c58d11ddf74ad2","2018-05-24T10:10:47Z","0ab2d13c270919b7c457727f703dd57de3f9cf91","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","8f01b2b9e4de46a38bf70cdb603db75ebfd4b58b","2023-12-19T18:37:18Z","d5e5b10fbbb504352f40c7e0ceb7300b5b0a4b79","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"explosion/thinc","https://github.com/explosion/thinc","thinc","explosion","🔮 A refreshing functional take on deep learning, compatible with your favorite libraries","Python","MIT","MIT License","true","2890","154","2014-10-16T16:34:59Z","2014-06-29T15:20:41Z","2026-03-27T07:49:48Z","140.89","artificial-intelligence; deep-learning; machine-learning; natural-language-processing; nlp","20","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","2890","16","2014-10-16T16:34:59Z","2026-09-14T17:46:07Z","MIT","MIT License","","2018-05-24T23:59:59Z","7371c149f8b9940b464f91bae02878122118208e","2018-05-22T09:27:04Z","5151b2ca9ab7f04230d60590dbac8d3eafdb9ada","FALSE","README.rst","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","6c38b29924b218140e5c10c2cb77e3ff487b0ffa","2026-03-27T07:49:48Z","f8d01ba018dd61e4e26d68b4ab0173bd9cbecdb2","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"microsoft/pai","https://github.com/microsoft/pai","pai","microsoft","Resource scheduling and cluster management for AI","JavaScript","MIT","MIT License","true","2691","2086","2017-09-25T11:24:51Z","2017-09-25T11:24:51Z","2026-09-18T01:28:22Z","107.74","artificial-intelligence; machine-learning","21","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","2691","260","2017-09-25T11:24:51Z","2026-09-21T12:18:20Z","MIT","MIT License","","2018-05-24T23:59:59Z","4bcd6468ae1472a79a4106f6567d7db72471e186","2018-05-24T14:07:45Z","395f4e0069b46f1dd547696091fa568d9b839960","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","a95d9420e63e6d6cce2d5cd001b990bb09bf2987","2024-06-06T07:56:06Z","52172f1cadd0c55b37187f17a96df951c624e735","FALSE","README.md; SECURITY.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
